,numeroMuseo,numeroCampo,familia,genero,especie,localidad,latitud,longitud,fechaInicioColeccion,colector,altitudMax,altitudMin,year,5years,decade,institutionCode,scientificName,catalogNumber,Locacion,Elevation,geometry,elevation,elev_category
0,QCA149844,20562,Betulaceae,Alnus,acuminata,"Manu, Pasaje km 19.",-3.5,-78.4667,1999-09-14T00:00:00,S. Lgaard,3000.0,3100.0,1999.0,1995.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.4667 -3.5),[1041.],1001-1500
1,QCA159144,5048,Betulaceae,Alnus,acuminata,"Chachapoyas Provincia. Amazonas. Rio Mara¤on valley, Chahapoyas-Cajamarca road, 38 a 41 km Leimebamba.",-6.83333,-77.8667,1983-09-04T00:00:00,D.N. Smith,3350.0,3400.0,1983.0,1980.0,1980.0,QCA,Alnus acuminata,,,,POINT (-77.8667 -6.83333),[3641.],> 3500
2,QCA169694,636,Betulaceae,Alnus,acuminata,"Km 25, Loja to San Lucas.",-3.784,-79.251,1961-09-15T00:00:00,C.H. Dodson,2200.0,,1961.0,1960.0,1960.0,QCA,Alnus acuminata,,,,POINT (-79.251 -3.784),[2154.],2001-2500
3,QCA175655,9969A,Betulaceae,Alnus,acuminata,Hcda. Tarqui  km 22 v¡a Patacocha que est  en el km 27,-2.987642,-78.987901,1987-08-20T00:00:00,J. Jaramillo,2700.0,,1987.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-78.987901 -2.987642),[2805.],2500-3000
4,QCA20030,1678,Betulaceae,Alnus,acuminata,"V¡a Mariano Acosta a Palmira, Tambo, Nueva Amrica, Nueva Amrica, R¡o Pisque,  Cruce a Potrerillos.",0.3,-77.9833,1979-12-29T00:00:00,J. Jaramillo,3169.0,,1979.0,1975.0,1970.0,QCA,Alnus acuminata,,,,POINT (-77.9833 0.3),[2961.],2500-3000
5,QCA20370,11,Betulaceae,Alnus,acuminata,Carretera Nono to Tandayapa to Nanegal. Colecciones entre Nono y Tandayapa.,-0.055226,-78.616877,1997-04-19T00:00:00,Z. Aguilar,2350.0,,1997.0,1995.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.616877 -0.055226),[2301.],2001-2500
6,QCA20371,259,Betulaceae,Alnus,acuminata,"Quijos, Sierra Azul, campamento Arag¢n.",0.633333,-77.9,1992-03-28T00:00:00,A. µlvarez,2050.0,,1992.0,1990.0,1990.0,QCA,Alnus acuminata,,,,POINT (-77.9 0.633333),[3443.],3000-3500
7,QCA20372,92,Betulaceae,Alnus,acuminata,Alrededores de Oyacachi.,-0.216667,-78.0667,1996-03-27T00:00:00,S. B ez,3100.0,,1996.0,1995.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.0667 -0.216667),[3097.],3000-3500
8,QCA20373,1804,Betulaceae,Alnus,acuminata,N slopes of Mt. Pasochoa S of Quito.,-0.45,-78.4667,1981-02-01T00:00:00,H. Balslev,3000.0,3500.0,1981.0,1980.0,1980.0,QCA,Alnus acuminata,,,,POINT (-78.4667 -0.45),[3674.],> 3500
9,QCA20374,1,Betulaceae,Alnus,acuminata,Sector Molinuco desde entrada Cashapamba.,-0.383333,-78.4167,1997-04-20T00:00:00,P. Barriga,2780.0,,1997.0,1995.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.4167 -0.383333),[2693.],2500-3000
10,QCA20375,666,Betulaceae,Alnus,acuminata,Cuenca a Angas.,-2.83333,-79.1167,1976-12-28T00:00:00,J.D. Boeke,2895.0,,1976.0,1975.0,1970.0,QCA,Alnus acuminata,,,,POINT (-79.1167 -2.83333),[3613.],> 3500
11,QCA20376,42127,Betulaceae,Alnus,acuminata,"Quebrada San Isidro, on the road from Otavalo to Laguna Mojanda.",1.16667,-78.2667,1983-04-15T00:00:00,J. Brandbyge,3000.0,3070.0,1983.0,1980.0,1980.0,QCA,Alnus acuminata,,,,POINT (-78.2667 1.16667),[760.],501-1000
12,QCA20377,10593,Betulaceae,Alnus,acuminata,"Latacunga  Parroquia Sigchos. Plantas £tiles. Informantes: Mar¡a Duicela, Cesar Toaquiza, Saul Toapanta Negrete.",-0.7,-78.8833,1990-06-30T00:00:00,C.E. Cer¢n,2800.0,,1990.0,1990.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.8833 -0.7),[2764.],2500-3000
13,QCA20378,10705,Betulaceae,Alnus,acuminata,"Salcedo  Parroquia San Pedro de Mulalillo. Plantas £tiles. Informantes: Mario Sarzosa, Nelson Velategui, Edwin Torres, Ren n Torres.",-1.1,-78.6167,1990-07-03T00:00:00,C.E. Cer¢n,2680.0,,1990.0,1990.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.6167 -1.1),[2732.],2500-3000
14,QCA20379,11212,Betulaceae,Alnus,acuminata,"Cant¢n Otavalo, Parroquia San Jos de Quichinche.",0.25,-78.2667,1990-07-18T00:00:00,C.E. Cer¢n,2645.0,,1990.0,1990.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.2667 0.25),[2491.],2001-2500
15,QCA20380,11644,Betulaceae,Alnus,acuminata,"Latacunga, Parroquia Mulal¢",-0.783333,-78.5667,1990-07-25T00:00:00,C.E. Cer¢n,3020.0,,1990.0,1990.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.5667 -0.783333),[3049.],3000-3500
16,QCA20381,12288,Betulaceae,Alnus,acuminata,"Quito, Pasochoa. Bosque Protector Pasochoa",-0.366667,-78.45,1990-11-16T00:00:00,C.E. Cer¢n,3000.0,3500.0,1990.0,1990.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.45 -0.366667),[2580.],2500-3000
17,QCA20382,15813,Betulaceae,Alnus,acuminata,"Ca¤ar, Parroquia Chorocopte",-2.56667,-78.9333,1991-10-01T00:00:00,C.E. Cer¢n,3340.0,,1991.0,1990.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.9333 -2.56667),[3163.],3000-3500
18,QCA20383,16276,Betulaceae,Alnus,acuminata,"Penipe, Parroquia Matus",-1.15,-78.5022,1991-09-01T00:00:00,C.E. Cer¢n,2690.0,,1991.0,1990.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.5022 -1.15),[3242.],3000-3500
19,QCA20384,15703,Betulaceae,Alnus,acuminata,Road between Loja and Vilcabamba.,-4.31667,-79.2333,1984-07-13T00:00:00,W.G. D'Arcy,2200.0,2400.0,1984.0,1980.0,1980.0,QCA,Alnus acuminata,,,,POINT (-79.2333 -4.31667),[1608.],1501-2000
20,QCA20385,13,Betulaceae,Alnus,acuminata,"km 65,5 Panamericana vieja Cuenca a Loja. Nab¢n.",-3.28333,-79.3167,1988-06-18T00:00:00,D.F. Desmond,3300.0,,1988.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-79.3167 -3.28333),[1469.],1001-1500
21,QCA20387,66607,Betulaceae,Alnus,acuminata,2 km al sur de Saraguro.,-3.63333,-79.2333,1988-10-08T00:00:00,L. Ellemann,2400.0,,1988.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-79.2333 -3.63333),[2520.],2500-3000
22,QCA20388,66615,Betulaceae,Alnus,acuminata,Las Lagunas. 2 km al sur de Saraguro.,-3.63333,-79.2333,1988-09-27T00:00:00,L. Ellemann,2600.0,,1988.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-79.2333 -3.63333),[2520.],2500-3000
23,QCA20389,157,Betulaceae,Alnus,acuminata,"Cerro Atacazo, Zapallas Carretera.",-0.339722,-78.6106,1983-07-23T00:00:00,B.T.d. Espinosa,3600.0,,1983.0,1980.0,1980.0,QCA,Alnus acuminata,,,,POINT (-78.6106 -0.339722),[3956.],> 3500
24,QCA20390,359,Betulaceae,Alnus,acuminata,Camino Ba¤os a Illuchi a El Tabl¢n. Sector El Guarumal.,-1.41667,-78.4167,1986-09-24T00:00:00,A. Freire-Fierro,2000.0,,1986.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-78.4167 -1.41667),[2484.],2001-2500
25,QCA20391,564A,Betulaceae,Alnus,acuminata,"Valle del Lloa y Palmira, faldas SO del Volc n Pichincha 20 to 29 km de la carretera Quito Lloa Mindo.",-0.2,-78.65,1987-04-25T00:00:00,A. Freire-Fierro,2500.0,3000.0,1987.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-78.65 -0.2),[2974.],2500-3000
26,QCA20392,757,Betulaceae,Alnus,acuminata,"Carretero Cuenca Hda. Gatug Maz n, colecciones en Maz n.",-2.83333,-79.1167,1987-08-16T00:00:00,A. Freire-Fierro,3000.0,3600.0,1987.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-79.1167 -2.83333),[3613.],> 3500
27,QCA20393,1498,Betulaceae,Alnus,acuminata,"Zamora Huaicu. En la pista de la derecha de Zamora a Huaicu, en las laderas de la izquierda, en frente de la puerta de la finca Madrigal del Carmen, 100 , antes de llegar a las instalaciones de agua potable.",-4.03444,-79.1744,1996-09-26T00:00:00,A. Garmendia,2220.0,,1996.0,1995.0,1990.0,QCA,Alnus acuminata,,,,POINT (-79.1744 -4.03444),[2320.],2001-2500
28,QCA20394,98,Betulaceae,Alnus,acuminata,30 km SE de Quito.,-0.45,-78.4667,1988-10-29T00:00:00,M. Gavilanes,2850.0,3900.0,1988.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-78.4667 -0.45),[3674.],> 3500
29,QCA20395,116,Betulaceae,Alnus,acuminata,"La Libertad, ca 3 km north of El  ngel; along stream in village.",0.654379,-77.943883,1981-08-02T00:00:00,L.J. Gillespie,3000.0,,1981.0,1980.0,1980.0,QCA,Alnus acuminata,,,,POINT (-77.943883 0.654379),[3074.],3000-3500
30,QCA20396,18046,Betulaceae,Alnus,acuminata,"Northern slopes of Cerro Coraz¢n, between Haciend La Granja and Hacienda El Pongo, on road from Aloag. ",-0.466667,-78.6167,1979-05-13T00:00:00,L.B. Holm-Nielsen,3200.0,3300.0,1979.0,1975.0,1970.0,QCA,Alnus acuminata,,,,POINT (-78.6167 -0.466667),[3180.],3000-3500
31,QCA20397,10253,Betulaceae,Alnus,acuminata,Carretera Yangana a Valladolid.,-4.36667,-79.1667,1988-02-24T00:00:00,J. Jaramillo,2500.0,,1988.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-79.1667 -4.36667),[1935.],1501-2000
32,QCA20398,11883,Betulaceae,Alnus,acuminata,"Papallacta, sector Noreste de la poblaci¢n de Papallacta.",-0.383333,-77.9667,1990-08-18T00:00:00,J. Jaramillo,3050.0,,1990.0,1990.0,1990.0,QCA,Alnus acuminata,,,,POINT (-77.9667 -0.383333),[3721.],> 3500
33,QCA20399,1900,Betulaceae,Alnus,acuminata,"Otavalo, Hcda. Perugachi. Sito de colecciones Quichinche Faldas NW de Pe¤as blancas, frente a f brica de Cemento Selvalegre.",0.2,-78.25,1980-01-05T00:00:00,J. Jaramillo,2670.0,2910.0,1980.0,1980.0,1980.0,QCA,Alnus acuminata,,,,POINT (-78.25 0.2),[2734.],2500-3000
34,QCA20400,2003,Betulaceae,Alnus,acuminata,"V¡a La Joya a Huagshi, Guantupugro, al Oeste de la poblaci¢n de Otavalo.",0.5,-78.2,1980-01-20T00:00:00,J. Jaramillo,2550.0,2600.0,1980.0,1980.0,1980.0,QCA,Alnus acuminata,,,,POINT (-78.2 0.5),[2448.],2001-2500
35,QCA20401,2381,Betulaceae,Alnus,acuminata,"Carretera Mitad del Mundo a R¡o Guayllabamba a Peruchol, San Jos de Minas Otavalo. Sitio de colecci¢n Hcda. Perugachi.",-0.1,-78.65,1980-04-26T00:00:00,J. Jaramillo,2000.0,3000.0,1980.0,1980.0,1980.0,QCA,Alnus acuminata,,,,POINT (-78.65 -0.1),[2390.],2001-2500
36,QCA20402,3848,Betulaceae,Alnus,acuminata,Carretero Saraguro a Tenta.,-3.9,-79.25,1980-09-16T00:00:00,J. Jaramillo,2500.0,2800.0,1980.0,1980.0,1980.0,QCA,Alnus acuminata,,,,POINT (-79.25 -3.9),[2424.],2001-2500
37,QCA20403,506,Betulaceae,Alnus,acuminata,"Carretero a Quinoas, localidad Surocucho.",-2.8,-79.1833,1978-08-11T00:00:00,J. Jaramillo,3000.0,,1978.0,1975.0,1970.0,QCA,Alnus acuminata,,,,POINT (-79.1833 -2.8),[3893.],> 3500
38,QCA20404,5390,Betulaceae,Alnus,acuminata,"Carretera Cuenca a San Joaqu¡n a Angas, SO de Cuenca, colecciones entre Bay n y Hcda. Puc n.",-2.88333,-79.3333,1983-07-30T00:00:00,J. Jaramillo,2800.0,,1983.0,1980.0,1980.0,QCA,Alnus acuminata,,,,POINT (-79.3333 -2.88333),[4031.],> 3500
39,QCA20405,632,Betulaceae,Alnus,acuminata,Carretera Chillogallo a San Juan Chiriboga a Empalme. Colecciones en alrededores de San Juan. ,-0.3,-78.65,1985-09-09T00:00:00,J. Jaramillo,3100.0,3260.0,1985.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-78.65 -0.3),[3082.],3000-3500
40,QCA20406,7300,Betulaceae,Alnus,acuminata,"Carretera Saraguro a Tenta, colecciones entre Cinega Grande, Nar¡z del Diablo.",-3.9,-79.25,1984-09-18T00:00:00,J. Jaramillo,2900.0,3000.0,1984.0,1980.0,1980.0,QCA,Alnus acuminata,,,,POINT (-79.25 -3.9),[2424.],2001-2500
41,QCA20407,851,Betulaceae,Alnus,acuminata,"V¡a Saraguro a Tenta, Cinego Grande.",-3.61667,-79.25,1979-02-25T00:00:00,J. Jaramillo,1800.0,2600.0,1979.0,1975.0,1970.0,QCA,Alnus acuminata,,,,POINT (-79.25 -3.61667),[2664.],2500-3000
42,QCA20408,8676,Betulaceae,Alnus,acuminata,km 13 de Yangana.,-4.36667,-79.1667,1986-08-08T00:00:00,J. Jaramillo,2300.0,,1986.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-79.1667 -4.36667),[1935.],1501-2000
